#Generations
Banners              || 2367/3457/5 || Exploding || The rule often produces ships with growing fluttering banners.{NL}{NL}A rule by Mirek Wojtowicz.
Pinwheels            || NW1,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE1,HI7,RS2,RB2,RB3 ||  || The rule produces spinning wheels and comet-like gliders. Try also 5 and 10 counts of states. The related rules you get thereby feature some especially peculiar emergent objects.{NL}{NL}A rule by John Elliott, August 2000
PipeFleas            || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI3,RS3,RS4,RS7,RS11,RS12,RS13,RS14,RS15,RS17,RS18,RS20,RS22,RS23,RS25,RB6,RB10 || Chaotic || A weighted orthogonal rule with decay. Features 2-cell wide solid "pipes" that appear, grow orthogonally, and disappear amid lots of chaotic expansion. Also has a common replicator similar to fleas2 which expands and dies like ripples on water.{NL}{NL}A rule by Ben Schaeffer.
PreHogs              || NW2,NN3,NE0,WW3,ME0,EE2,SW0,SS2,SE3,HI0,RS3,RS4,RS6,RB5,RB6 || Chaotic || A weighted hexagonal rule, a predecessor of Hogs. Common features are a worm-like glider that can be of any length and similar still lifes.{NL}{NL}A rule by Ben Schaeffer.
PuttPutt             || NW9,NN1,NE9,WW1,ME0,EE1,SW9,SS1,SE9,HI0,RS1,RS2,RS3,RS4,RS9,RS18,RS27,RS36,RS40,RB2,RB4,RB11,RB18,RB19,RB36,RB40 || Chaotic || A weighted orthogonal rule with a dash still life, several orthogonal gliders the most common of which appears to have a pulsing exhaust cloud, and some unique oscillators.{NL}{NL}A rule by Ben Schaeffer.
SEmigration          || NW5,NN1,NE5,WW1,ME0,EE0,SW5,SS0,SE5,HI0,RS2,RS3,RS6,RS7,RS10,RS11,RS12,RB7,RB11,RB12,RB16 || Stable || A diagonally symmetric weighted rule where all expansion is towards the Southeast. Includes still lifes, gliders, puffer trains, and oscillators.{NL}{NL}A rule by Ben Schaeffer.
Simple               || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS1,RS5,RB2,RB10 || Chaotic || A weighted orthogonal/diagonal rule, one of the simplest rules around. Commonly features a 3 cell diagonal glider, a 2 cell dash still life, and a period 4 blinker.{NL}{NL}A rule by Ben Schaeffer.
Simple hex crystal   || NW1,NN1,NE0,WW1,ME0,EE0,SW0,SS0,SE0,HI0,RS1,RS2,RS3,RB2,RB4 || Gliding || A weighted asymmetric rule that shows the effect of crystallization.{NL}{NL}A rule by Ben Schaeffer.
Simple Inverse       || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS1,RS4,RS5,RS8,RS9,RS12,RS13,RS16,RS17,RS18,RS19,RS20,RS21,RS23,RS24,RB2,RB9,RB10,RB13,RB14,RB17,RB18,RB21,RB22,RB24 || Chaotic || Simple variation where the heavily populated areas of live cells support "Simple" life forms composed of dead cells.{NL}{NL}A rule by Ben Schaeffer.
Simple Inverse Fire  || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS1,RS5,RS9,RS13,RS17,RS18,RS19,RS21,RS23,RS24,RB2,RB4,RB8,RB9,RB10,RB12,RB13,RB14,RB16,RB17,RB18,RB20,RB21,RB22,RB24 || Chaotic || Simple inverse variation where the edges between heavily populated areas and extremely sparsely populated areas is unstable, with a common orthogonal glider.{NL}{NL}A rule by Ben Schaeffer.
Stampede             || NW1,NN3,NE0,WW3,ME0,EE3,SW1,SS3,SE0,HI8,RS4,RS6,RS9,RS10,RB4,RB7 || Gliding || A rule in which all patterns turn to various creatures rushing horizontally in one direction.{NL}{NL}A rule by Mirek Wojtowicz.
Starbursts           || NW1,NN2,NE1,WW2,ME0,EE2,SW1,SS2,SE1,HI0,RS2,RS4,RS6,RB4 || Chaotic || A weighted orthogonal rule with a very common starburst-like oscillator and a rare glider.{NL}{NL}A rule by Ben Schaeffer.
Starbursts2          || NW1,NN2,NE1,WW2,ME0,EE2,SW1,SS2,SE1,HI0,RS2,RS4,RS5,RS6,RB4 || Chaotic || A weighted orthogonal rule with a very common starburst-like oscillator and puffer train that lays tracks. Variation of a Starburst rule.{NL}{NL}A rule by Ben Schaeffer.
Stream               || NW0,NN1,NE0,WW1,ME0,EE4,SW0,SS4,SE1,HI0,RS1,RS3,RS4,RS7,RS8,RS9,RS10,RS11,RB5,RB7,RB8,RB10,RB11 || Chaotic || Chaotic waves travel Northwest, period 4 "Minnows" head in the Southeast direction, and gliders reminiscent of "Water Strider" insects travel North and West.{NL}{NL}A rule by Ben Schaeffer.
UpDown1              || NW1,NN1,NE1,WW4,ME0,EE4,SW4,SS4,SE4,HI0,RS2,RS4,RS5,RS6,RS9,RS12,RS16,RS20,RB3,RB6,RB9,RB12 || Chaotic || A vertically symmetric weighted rule, an experiment with different expansion weights for North verses South birth rules. Chaotic expansion exists in the South direction, but a puffer train that leaves pairs of 2 pixel dashes (still life) emerges going in the North direction.{NL}{NL}A rule by Ben Schaeffer.
UpDown2              || NW1,NN5,NE1,WW1,ME0,EE1,SW5,SS5,SE5,HI0,RS2,RS3,RS7,RS10,RS11,RS12,RS15,RB3,RB7,RB11,RB15 || Chaotic || A vertically symmetric weighted rule, an experiment with different expansion weights for North verses South birth rules. This rule has some Conway still life and oscillators, but different gliders going North and South.The name of the rule soon turned out to be incorrect due to Mirek Wojtowiczs discovery of the horizontal gliders.{NL}{NL}A rule by Ben Schaeffer.
Upstream             || NW1,NN3,NE0,WW4,ME0,EE4,SW1,SS3,SE0,HI10,RS4,RS6,RS9,RS10,RB4,RB7 || Gliding || A very amusing rule where different fish-like patterns travel horizontally in both directions. After a short collisions-phase patterns gather in groups and make their way through patterns moving in the opposite direction.{NL}{NL}A rule by Mirek Wojtowicz.
Vineyard             || NW1,NN4,NE1,WW4,ME0,EE4,SW0,SS4,SE0,HI0,RS2,RS6,RS8,RS9,RS10,RS12,RS13,RB5 || Exploding || A weighted asymmetric rule, variation of "Zipper Makers". Out of chaos flame-like insects collide to create evolving vines.{NL}{NL}A rule by Ben Schaeffer.
Vineyard2            || NW1,NN4,NE1,WW4,ME0,EE4,SW0,SS4,SE0,HI0,RS2,RS8,RS9,RS10,RS12,RS13,RB5 || Exploding || A weighted asymmetric rule, variation of "Zipper Makers". Out of chaos flame-like insects collide to create evolving vines.{NL}{NL}A rule by Ben Schaeffer.
Weevils              || NW3,NN3,NE1,WW1,ME0,EE1,SW1,SS3,SE3,HI0,RS1,RS2,RS3,RS4,RB5,RB6,RB14 || Exploding || A rotationally symmetric rule, with simple but unique still lifes, oscillators, and horizontal gliders.{NL}{NL}A rule by Ben Schaeffer.
Weighted Brain       || NW2,NN3,NE2,WW3,ME-5,EE3,SW2,SS3,SE2,HI3,RS3,RS4,RS7,RB4,RB5,RB8 || Exploding || The rule is somewhat similar to Brians Brain, but it has also some unique features: a linear replicator, a modular (i.e. you can add on "parts") oscillator and an oscillator/gun. It also has "marvel" ships that grown infinite streamers.{NL}{NL}A rule by Michael Sweney.
Y-Chromosome         || NW1,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE1,HI3,RS2,RB2 || Chaotic || A totalistic hexagonal rule with decay. Features exploding replicators, common glider with an undulating tail, and some uncommon oscillators and gliders.{NL}{NL}A rule by Ben Schaeffer.
ZipperMakers         || NW1,NN0,NE1,WW0,ME0,EE4,SW1,SS4,SE1,HI0,RS2,RS3,RS6,RS7,RS8,RS9,RS10,RS12,RS13,RB5 || Chaotic || A weighted asymmetric rule, variation of "Maze Makers". Walls usually grow and shrink and new walls can evolve.{NL}{NL}A rule by Ben Schaeffer.


#Vote for Life
Fredkin              || 13579 || Exploding || Famous Fredkins replicator. This is the simplest CA rule which makes patterns self replicate. After 32 steps every starting configuration is replicated 9 times.{NL}{NL}A rule by Edward Fredkin.
Feux                 || 1358 || Exploding || {NL}{NL}Author unknown.
Vote 4-5             || 46789 || Collapsing || The Gerard Vichniac voting rule with 4 and 5 swapped. This variation helps break down the "gridlock" that occurs with straightforward Vote rule.
Vote                 || 56789 || Stable || Standard Gerard Vichniac voting rule.


#Rules table
Conway's Life        || 1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1 || Chaotic || Conway's Life.{NL}{NL}An illustration of the Rules Table usage.
Balloons             || 1,0,1,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4,4,4,4,4,4,0,5,5,5,5,5,7,7,9,11,0,2,2,2,2,2,2,2,2,2,0,5,5,5,5,5,13,13,9,11,0,8,8,10,8,8,8,8,8,8,0,2,2,2,2,2,9,13,9,11,0,10,10,0,10,10,10,10,10,10,0,14,14,14,14,14,14,14,14,11,0,12,12,4,12,12,12,12,12,12,0,6,6,6,6,13,13,13,9,11,0,14,14,14,12,14,14,14,14,14,0,2,2,2,2,2,2,2,2,2 || Exploding || A very striking rule which is yet another step past Brians Brain. Brains haulers build up connected regions as in Brain, but now the regions form membranes, grow, burst, and are eaten.{NL}{NL}A rule by Brian Silverman.
Busy Brain           || 1,0,0,0,0,1,2,0,2,2,2,2,0,2,2,2,1,0,2,2,2,2,0,0,0,0,0,1,2,2,1,2 || Chaotic || A variation of Brians Brain, with more chaos. The animation looks similar, yet the board is more filled, and patterns produce more sparks.{NL}{NL}A rule by George Maydwell
Cars                 || 1,0,1,0,2,15,6,8,2,4,6,8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,15 || Gliding || A very amusing rule producing... racing cars of several types! Its a fun to watch them driving, smashing, bouncing. The rule features also interesting oscillators.{NL}{NL}A rule by Rudy Rucker.
Cheops               || 1,0,0,0,4,1,9,8,0,0,0,0,0,5,0,9,7,0,6,0,9,8,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,4,0,3,0,0,0,3,0,1,0,0,0,4,0,3,0,9,0,6,1,0,0,0,5,0,0,0,0,4,1,0,0,2,7,0,2,6,3,8,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,8,5,3 || Expanding || Improved variation of Strangers, showing gliders with an angle of 53 degrees, same as the base angle of the Cheops pyramid.{NL}{NL}A rule by Alastair Couper.
Cooties 2            || 1,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,12,12,15,12,12,12,12,12,12 || Exploding || A prototype of the "real" Cooties rule, found in Generations family.{NL}{NL}A rule by Rudy Rucker.
Crawlers             || 1,0,1,0,14,3,8,0,0,0,0,0,0,2,8,0,6,0,0,3,11,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,11,0,6,0,0,0,0,6,0,0,0,4,0,9,0,0,0,6,0,8,0,0,11,10,0,8,0,10,0,0,0,11,0,0,6,0,0,0,10,0,0,0,0,5,0,0,0,2,8,0,0,0,0,0,0,0,0,6,0,5,14,0,0,0,1,0,0,0,11,6,0,0,8,8,0,0,0,8,12,0,0,0,0,0,6,5,0,8,0,0,0,0,0,8,8,0,0,1,0,0,2,6,0,6,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,9 || Expanding || This rule produces many different small and big creatures crawling around.{NL}{NL}A rule by Rudy Rucker.
EcoLiBra             || 1,0,1,0,0,7,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,2,2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,2,15,15,15 || Chaotic || This rule is a cross between Life and Brians Brain. The basic idea is that the cells are divided between dark "sea" cells and light "land" cells. We run Brain in the sea, and on land we run not Life but AntiLife. Six or seven firing Brain cells turn a sea cell into land. Seven "antifiring" Antilife cells turn a land cell into sea.{NL}{NL}A rule by Rudy Rucker.
Empire               || 1,0,1,0,0,7,1,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,15,15,15,15,15,2,2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,2,15,15,15 || Chaotic || Empire is named rather aptly for the actions of the Life patterns within it: whatever you start off with, it will expand with a chaotic border, take over the world, collapse into warring factions and fleeting calm patches, and eventually stabilise and stagnate.The effect remains the same whether one uses a 23/3 style input for gens 1 and 2, 7 and 8, or both.Starting with EcoLiBra and adding the center cell, then finishing lines 2, 7, and 15 with 15, 12, and 15 respectively, one gets a Brain like world which eventually (1,000 or 2,000 gen) grows islands. They end up eating the world.{NL}{NL}A rule by Charles A. Rockafellor.
Fire sticks          || 1,0,1,0,0,15,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,6,0,6,6,6,6,6,6,0,0,0,0,7,0,0,0,0,0,0,8,8,6,8,8,8,8,8,8,0,0,0,0,9,0,0,0,0,0,0,2,2,8,2,2,2,2,2,2,0,0,0,0,11,0,0,0,0,0,0,4,4,10,4,4,4,4,4,4,0,0,0,0,13,0,0,0,0,0,0,14,14,12,14,14,14,14,14,14,0,0,0,0,15,0,0,0,0,0,0,10,10,14,10,10,10,10,10,10,0,12,12,0,15,12,12,12,12,12 || Gliding || This rule produces long gliding sticks, often sparkling on one side.{NL}{NL}A rule by Rudy Rucker.
HistoricalLife       || 1,0,1,0,0,0,1,0,0,0,0,0,0,2,2,1,1,2,2,2,2,2,0,2,2,2,1,2,2,2,2,2 || Chaotic || This rule duplicates Conways Life -- all constructions will work identically -- but it leaves a trail of a third type of cell wherever a cell has once been alive. This is useful for placing still lifes to affect a pattern, without having to backtrack continually to find out whether the still life would have interacted with the pattern in previous generations.{NL}{NL}A rule by Dave Greene, April 2001.
Ladders              || 1,0,1,0,6,5,0,0,2,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15,0,15,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,4,2,5,6,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,8,0,15,5,0,0,0,0,0,4,10,0,0,4,5,0,0,4,0,0,8,8,0,0,12,4,6,0,0,0,0,0,10,2,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,3,0,0,9,0,0,0,14,0,0,6 || Chaotic || This rule produces orthogonal ladder-like replicators.{NL}{NL}A rule by Rudy Rucker.
Piranha              || 1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1 || Chaotic || A very funny rule, featuring diagonal piranha-like gliders and a replicator.{NL}{NL}A rule by Rudy Rucker.
RanBrain             || 1,0,1,0,0,5,10,0,0,5,10,0,0,0,0,5,10,0,0,0,0,15,0,0,0,0,0,0,15,15,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,6,2,6,2,6,2,6,2,0,2,6,2,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7 || Exploding || Another member of the Brians family. The rule is much less live, and often creates Sierpinski-like patterns.{NL}{NL}A rule by Rudy Rucker.
Strangers            || 1,0,0,0,4,1,9,8,0,0,0,0,0,5,0,9,7,0,6,0,9,8,0,2,5,0,4,0,0,0,0,0,0,0,10,2,10,0,6,0,0,4,0,3,0,10,0,3,0,1,10,0,0,4,0,3,10,9,0,6,1,0,0,0,5,0,0,0,0,4,1,0,0,2,7,0,2,6,3,8,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,8,5,3,0,9,0,0,5,0,4,0,0,5,0,0,0,0,0,0,0,9 || Gliding || The rule produces many funny and surprisingly stable ships. The ships are always gliding, without any flickering of cells.{NL}{NL}A rule by Mirek Wojtowicz.
WireWorld            || 1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,3,3,3,3,3,3,3,3,3,0,3,1,1,3,3,3,3,3,3 || Gliding || The cellular automaton WireWorld is attributed to Brian Silverman and was included in his program PHANTOM FISH TANK. A. K. Dewdney publicized WireWorld in his "Computer Recreations" column (Scientific American, January, 1990). Cells in WireWorld have one of four possible states: background (0), electron head (1), electron tail (2), and wire (3). The rules for updating cells are:{NL}{NL}- background (0) always remains background.{NL}{NL}- electron head (1) always changes to electron tail.{NL}{NL}- electron tail (2) always changes to wire.{NL}{NL}- wire (3) changes to electron head if one or two of its neighbours are electron heads.{NL}{NL}These simple rules allow fairly complicated logic circuits to be constructed.{NL}{NL}A rule by Brian Silverman.


#Cyclic CA
313                  || R1/T3/C3/NM || Cyclic || {NL}{NL}A rule by David Griffeath.
3-color bootstrap    || R2/T11/C3/NM || Cyclic || {NL}{NL}A rule by David Griffeath.
Amoeba               || R3/T10/C2/NN || Cyclic || Similar to Vote 4/5, this rule smoothes patterns and leaves irregular islands with characteristic oscillating edges.{NL}{NL}A rule by Jason Rampe.
Black vs White       || R5/T23/C2/NN || Cyclic || Well-balanced rule where both death (black) and life (white) have equal chances. Seed patterns with 50% density.{NL}{NL}A rule by Jason Rampe.
CCA                  || R1/T1/C14/NN || Cyclic || A basic CCA. Starting from a uniform random distribution over 14 colors, droplets of color waves nucleate fairly quickly. Soon virtually all of the initial "debris" are overrun by the droplets. As the last vestiges of debris are eliminated, vortices emerge from the disordered wave fronts, creating diamond-shaped spirals. By about time 300 the array is completely covered with periodic spirals, out of phase with one another and not all of minimal period 14. Typically it takes much longer for the period 14 spiral cores to displace their feebler competitors.{NL}{NL}A rule by David Griffeath.
Cubism               || R2/T5/C3/NN || Cyclic || This interesting rule creates rectangular regions.{NL}{NL}A rule by Jason Rampe.
Cyclic spirals       || R3/T5/C8/NM || Cyclic || {NL}{NL}A rule by David Griffeath.
Fossil debris        || R2/T9/C4/NM || Cyclic || {NL}{NL}A rule by David Griffeath.
GH Macaroni          || R2/T4/C5/NM/GH || Cyclic || A rule by David Griffeath.
GH Multistrands      || R5/T15/C6/NM/GH || Cyclic || {NL}{NL}A rule by David Griffeath.
GH Percolation mix   || R5/T10/C8/NM/GH || Cyclic || {NL}{NL}A rule by David Griffeath.
GH Weak spirals      || R4/T9/C7/NM/GH || Cyclic || {NL}{NL}A rule by David Griffeath.
GH                   || R3/T5/C8/NM/GH || Cyclic || {NL}{NL}A rule by David Griffeath.
Imperfect            || R1/T2/C4/NM || Cyclic || {NL}{NL}A rule by John Elliott.
LavaLamp             || R2/T10/C3/NM || Cyclic || The rule produces blobs that seperate and combine resembling a lava lamp.{NL}{NL}A rule by Jason Rampe.
Maps                 || R2/T3/C5/NN || Cyclic || {NL}{NL}A rule by Mirek Wojtowicz.
Perfect              || R1/T3/C4/NM || Cyclic || A particularly interesting excitable system. From a uniform random configuration it quickly self-organizes into a chaotic soup with large length scale. But later on, often after  more than one hundred updates, perfect, widely separated stable spiral cores emerge and slowly take over the lattice.{NL}{NL}A rule by David Griffeath.
Squarish Spirals     || R2/T2/C6/NN || Cyclic || {NL}{NL}A rule by Jason Rampe.
Stripes              || R3/T4/C5/NN || Cyclic || {NL}{NL}A rule by Mirek Wojtowicz.
Turbulent phase      || R2/T5/C8/NM || Cyclic || {NL}{NL}A rule by David Griffeath.


#Larger than Life
Bugs                 || R5,C0,M1,S34..58,B34..45,NM || Chaotic || The rule is full of seriously endangered species in the crowded environment of the rules characteristic dynamics. It was discovered while exploring LtLife phase space on the CAM8 cellular automaton machine.{NL}{NL}A rule by Kellie Evans.
Bugsmovie            || R10,C0,M1,S123..212,B123..170,NM || Chaotic || This rule produces various bugs (gliders) and blinkers (oscillators) in a range 10 Box Larger than Life rule.{NL}{NL}A rule by David Griffeath.
Globe                || R8,C0,M0,S163..223,B74..252,NM || Chaotic || Dense enough to survive small starting patterns form circular shapes that resemble planets watched from spaceships.{NL}{NL}A rule by Mirek Wojtowicz.
Gnarl                || R1,C0,M1,S1..1,B1..1,NN || Chaotic || This simple rule, started from a configuration of several diagonally adjacent occupied cells grows fractals and snowflakes. The rule was named in homage to Rudy Rucker. His book "Artificial Life Lab" (Waite Group, 1993) suggests that the three fundamental characteristics of life are gnarl, sex and death. Check it out...{NL}{NL}A rule by Kellie Evans.
Majority             || R4,C0,M1,S41..81,B41..81,NM || Stable || An example of a voter model; a range 4 Box has 81 cells, so each party needs 41 or more for a local majority. Start from a completely random initial state with equal densities of 0 and 1 states. Use single step to observe massive self-organization, smoothing of the edges, two-color tessellation, convexification, and erosion of bounded regions. Next run it up to the moment it fixates.{NL}{NL}A rule by David Griffeath.
Majorly              || R7,C0,M1,S113..225,B113..225,NM || Expanding || Another case of a voter model of range 7. The rule, when started from a random soup of 1s, slowly covers the lattice. Select many colors and an alternative coloring method to achieve beautiful pictures.{NL}{NL}A rule by David Griffeath.
ModernArt            || R10,C255,M1,S2..3,B3..3,NM || Chaotic || Most simple patterns expand into lines and blocks of color, except for the really simple ones, which form stable power blocks (literally).{NL}{NL}A rule by Charles A. Rockafellor.
Waffle               || R7,C0,M1,S100..200,B75..170,NM || Expanding || The rule, when started from small filled areas, produces beautiful "waffles". Intrigued by the delicate transient droplet patterns, Kellie Evans segued into "engineering" mode in search of the perfect waffle. She discovered that for the LtL given here, if we start from a radius 10 lattice circle, then the waffle appears to grow "perfectly" for more than 70 updates before beginning to unravel.{NL}{NL}A rule by Kellie Evans.


#Neumann binary
Aggregation          || 3002000202000000000202000202000000000000000000000000000202000202000000000202000202001001111001001111111111111001001111001001111111111111111111111111111111111111111212021222020201010222221222012012010122011211000111111202122212121111111202111211 || Chaotic || A special type of crystallization that looks like aggregation. The rule uses 3 states.{NL}{NL}A rule by Tomoaki Suzudo.
Birds                || 3010112020112112222020222020112112222112102220222220202020222020222220202020202020112102222102000200222200202102000200000012020200020000222200202200020000202000200020220000220222020000020000220222020222222222020222020000020000020222020000020000 || Chaotic || "Aquarium" family member. The rule shows self-organization resembling traveling birds.{NL}{NL}A rule by Tomoaki Suzudo.
Colony               || 3010102020102011210020210000102011210011102120210120000020210000210120000000000000112111212111110100212100200111110100110102021100021012212100200100021012200012020020222020222222222020222020222222222222222222222222222020222020222222222020222020 || Chaotic || In "Colony", static marks spread all over the space as the time goes. This process looks like a sort of colonization.{NL}{NL}A rule by Tomoaki Suzudo.
Crystal2             || 201101101101101101111101011001000 || Chaotic || This is the simplest (2-state) example of self-organization at the edge of chaos. The crystallization appears at the critical point between organized and chaotic areas.{NL}{NL}A rule by Tomoaki Suzudo.
Crystal3a            || 3012101220100010100210200002102010000010121010100011002210000002200010012002002221111101111101000100111100100101000100000020000100000001111100100100000001100001011222222220222200200222200000222200200200022020200020000220200200200020000000000000 || Chaotic || Another crystallization effect. The rule uses 3 states.{NL}{NL}A rule by Tomoaki Suzudo.
Crystal3b            || 3012100200100011002200012020100020021021221021012020122200021010002212102020112021111111111111100100111100100111100100100010001100001011111100100100001011100011011222222222222200200222200200222200200200022022200020020222200200200022000200020000 || Chaotic || Another crystallization effect. The rule uses 3 states.{NL}{NL}A rule by Tomoaki Suzudo.
Fredkin2             || 201101001100101101001011001101001 || Chaotic || Famous Fredkins replicator in von Neumann neighbourhood. This is the simplest CA rule which makes patterns self replicate.{NL}{NL}A rule by Edward Fredkin.
Fredkin3             || 3012120201120201012201012120120201012201012120012120201201012120012120201120201012120201012201012120012120201201012120012120201120201012012120201120201012201012120201012120012120201120201012012120201120201012201012120120201012201012120012120201 || Chaotic || Another version of Fredkins replicator in von Neumann neighbourhood. This version uses 3 states.{NL}{NL}A rule by Edward Fredkin.
Galaxy               || 3010112020112112220020220000112112220112110200220200000020220000220200000000000000002002222002000200222200200002000200000000002200002020222200200200002020200020002020220000220220000000000000220220000220220000000000000000000000000000000000000000 || Chaotic || Similar to Typhoon, but the growth of the vortex is limited, and sometimes it collapses.  In Galaxy, any [2-cells] can not survive when at least one of the neighbors is [a 2-cell].  This is added to Typhoons rule.{NL}{NL}A rule by Tomoaki Suzudo.
Greenberg            || 3010110000110110000000000000110110000110110000000000000000000000000000000000000000222222222222222222222222222222222222222222222222222222222222222222222222222222222000000000000000000000000000000000000000000000000000000000000000000000000000000000 || Chaotic || A simple rule which sends out walls of 2 cell thicknesses in all 4 directions, the overall shape of which being that of the shortest path around the original pattern. Compare also "GreenHast" rule in "User DLLs" family.{NL}{NL}A rule by J. Greenberg, coded in MCell by Charles A Rockafellor.
Honeycomb            || 3010102020102002222020222020102002222002002220222220202020222020222220202020202020110112020112100202020202020112100202100002020202020200020202020202020200020200000020222020222222222020222020222222222222220202222202222020222020222202222020222020 || Chaotic || In "Honeycomb", crystalline and dynamic parts coexist. Such combination is essential to various complex system. For instance, organism is composed of static structures communicating one another.{NL}{NL}A rule by Tomoaki Suzudo.
Knitting             || 3010112020112110202020202020112110202110110002202002221020202020202002221020221010102010202010102021202021211010102021102000200021200102202021211021200102211102120020222020222222222020222020222222222222222222222222222020222020222222222020222020 || Chaotic || {NL}{NL}A rule by Tomoaki Suzudo.
Lake                 || 3010112020112100202020202020112100202100010002202002220020202020202002220020220000012110202110100000202000200110100000100002022000022020202000200000022020200020000020222020222222222020222020222222222222222222222222222020222020222222222020222020 || Chaotic || "Aquarium" family member. The rule adds some chaos to the Pond rule.{NL}{NL}A rule by Tomoaki Suzudo.
